"gene_ID","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","CH_ID","TF","TF_family","Gene_code_name","Gene_functions"
"AT2G18328",1.78621919516455e-128,1.25351620868561,0.104,0.002,3.27896257656356e-124,0,1.22425897600011,0.2,0.001,0,1.78621919516455e-128,0,"Chir03Ox-b32960.2","Yes","MYB_related","ATRL4","biological_process, cytosol, DNA-binding transcription factor activity, nucleus"
"AT1G79430",0,3.09467873606899,0.958,0.011,0,0,3.24533729995879,0.956,0.004,0,0,0,"Chir02Ox-b26600.2","Yes","G2-like","WDY","DNA-binding transcription factor activity, mitochondrion, nucleus, phloem development, positive regulation of DNA-templated transcription, protein binding, regulation of DNA-templated transcription, xylem development"
"AT1G07640",0,1.29633890113303,0.639,0.014,0,2.80010546788003e-214,1.50040369115044,0.711,0.021,5.14015360738737e-210,2.80010546788003e-214,0,"Chir01Ox-b07120.2","Yes","Dof","OBP2","DNA-binding transcription factor activity, nucleus, regionalization, regulation of DNA-templated transcription, regulation of glucosinolate biosynthetic process, regulation of root development, response to insect, response to jasmonic acid, response to wounding, root radial pattern formation, transcription cis-regulatory region binding"
"AT5G24800",3.7233427968562e-148,1.29866085963486,0.354,0.022,6.83494037218892e-144,4.46968886587256e-87,1.58885032712493,0.489,0.025,8.20500785108226e-83,4.46968886587256e-87,7.44668559371224e-148,"Chir06Ox-b14960.2","Yes","bZIP","ATBZIP9","cellular response to glucose stimulus, DNA-binding transcription factor activity, nucleus, protein binding, protein heterodimerization activity, protein homodimerization activity, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"AT3G45610",0,1.37199456981896,0.556,0.023,0,5.23381868040658e-135,1.57292469108642,0.622,0.027,9.60772095162235e-131,5.23381868040658e-135,0,"Chir05Ox-b10420.2","Yes","Dof","AT3G45610.1","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, root radial pattern formation, transcription cis-regulatory region binding"
"AT4G36710",0,1.81379112598311,0.785,0.026,0,1.88499797427208e-56,1.21730622721277,0.578,0.054,3.46029078137126e-52,1.88499797427208e-56,0,"Chir07Ox-b34150.2","Yes","GRAS","HAM4","cell differentiation, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, regulation of shoot system development, sequence-specific DNA binding"
"AT1G69580",8.70360609709253e-159,1.81514744415362,0.493,0.041,1.59772097124328e-154,1.35152878305472e-105,2.31073676323691,0.711,0.045,2.48100138705355e-101,1.35152878305472e-105,1.74072121941851e-158,"Chir02Ox-b16030.2","Yes","G2-like","AT1G69580.1","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription"
"AT4G24060",3.72032149510504e-157,1.91679175357148,0.583,0.059,6.82939416856432e-153,3.5342104517603e-61,1.30705466413873,0.8,0.094,6.48775012629638e-57,3.5342104517603e-61,7.44064299021018e-157,"Chir07Ox-b21070.2","Yes","Dof","Dof4.6","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription"
"AT4G37180",1.15173316832132e-76,1.32343479780321,0.757,0.211,2.11423657708744e-72,1.82812512774879e-14,1.61588736373706,0.733,0.376,3.35588929700846e-10,1.82812512774879e-14,2.30346633664264e-76,"Chir07Ox-b34380.2","Yes","G2-like","HHO5","cytosol, DNA binding, DNA-binding transcription factor activity, floral organ formation, negative regulation of gene expression, nucleus, protein binding, regulation of DNA-templated transcription, specification of plant organ identity, transcription cis-regulatory region binding"
"AT1G10120",6.05497520484674e-28,1.17734093577615,0.549,0.219,1.11151179835372e-23,3.52348882555244e-22,2.37214254977642,0.778,0.318,6.46806843706661e-18,3.52348882555244e-22,1.21099504096935e-27,"Chir01Ox-b09820.2","Yes","bHLH","CIB4","DNA-binding transcription factor activity, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, response to blue light, transcription cis-regulatory region binding"
