"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"AT1G65910",0.53869220392397,0.3995,0.0065,1,"DEGs","Yes"
"AT3G57600",2.66787409976187,0.8345,0.0065,2,"DEGs","Yes"
"AT5G02460",1.45134486534369,0.7495,0.008,3,"DEGs","Yes"
"AT3G24140",2.74069421449063,0.9095,0.0105,4,"DEGs","Yes"
"AT1G71050",4.34113689465072,0.943,0.0135,5,"DEGs","No"
"AT5G66440",2.66482350826505,0.914,0.019,6,"DEGs","No"
"AT5G66400",1.89238047660519,0.2155,0.021,7,"DEGs","No"
"AT5G65590",1.3365333405615,0.7355,0.0225,8,"DEGs","Yes"
"AT2G28410",2.66783853466942,0.702,0.023,9,"DEGs","No"
"AT2G29995",1.42585825088475,0.8075,0.0265,10,"DEGs","No"
"AT2G46070",1.59122995435521,0.828,0.031,11,"DEGs","No"
"AT5G53370",0.36092243944474,0.318,0.034,12,"GEP_42","No"
"AT3G25597",1.7333436247188,0.298,0.042,13,"GEP_42","No"
"AT4G15120",2.50367877218438,0.82,0.049,14,"DEGs","No"
"AT5G28490",1.26475688274396,0.662,0.058,15,"DEGs","No"
"AT3G50900",1.66273001543779,0.395,0.06,16,"GEP_42","No"
"AT4G35070",1.64564997090892,0.7815,0.06,17,"DEGs","No"
"AT4G18280",3.85993911570296,0.864,0.063,18,"GEP_42 and DEGs","No"
"AT1G21400",0.304729331386534,0.228,0.069,19,"GEP_42","No"
"AT1G49560",0.589300306908516,0.51,0.0885,20,"DEGs","Yes"
"AT1G62300",1.71423627543844,0.738,0.095,21,"DEGs","Yes"
"AT5G61390",0.703504874328345,0.268,0.108,22,"GEP_42 and DEGs","No"
"AT3G24520",0.369789464155259,0.279,0.138,23,"GEP_42 and DEGs","Yes"
"AT2G34810",2.11347622983412,0.732,0.1455,24,"DEGs","No"
"AT3G58710",0.602624872444335,0.581,0.1715,25,"DEGs","Yes"
"AT4G23500",0.254191048115402,0.397,0.193,26,"GEP_42","No"
"AT1G01260",0.467025508272366,0.55,0.2135,27,"DEGs","Yes"
"AT5G46780",1.11393829142047,0.443,0.244,28,"GEP_42","No"
"AT4G37790",1.7022820516803,0.811,0.248,29,"GEP_42 and DEGs","Yes"
"AT4G29190",1.94315294878876,0.8665,0.3995,30,"DEGs","Yes"
