"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"AT5G56120",1.87420948511921,0.655,0.02,1,"DEGs","No"
"AT2G34190",1.24152821568493,0.587,0.023,2,"DEGs","No"
"AT4G15140",1.24470330646666,0.644,0.025,3,"GEP_45 and DEGs","No"
"AT1G63100",1.55784488812786,0.788,0.028,4,"DEGs","Yes"
"AT3G51740",1.72877968006515,0.7875,0.031,5,"DEGs","No"
"AT3G51230",2.01538941720622,0.621,0.032,6,"DEGs","No"
"AT2G42110",2.51359745084425,0.7965,0.041,7,"DEGs","No"
"AT3G12870",2.09777503238048,0.553,0.042,8,"DEGs","No"
"AT5G66230",2.93352043449002,0.713,0.0425,9,"DEGs","No"
"AT3G14760",0.359166867247422,0.121,0.049,10,"GEP_49","No"
"AT3G16280",0.9013174085097,0.574,0.05,11,"DEGs","Yes"
"AT3G02640",3.61287556618469,0.7865,0.054,12,"DEGs","No"
"AT5G25090",3.03906327538583,0.846,0.06,13,"DEGs","No"
"AT5G53210",0.556194063661971,0.159,0.0635,14,"DEGs","Yes"
"AT4G35620",1.86768180074677,0.716,0.066,15,"DEGs","No"
"AT1G76310",2.29977582570992,0.812,0.084,16,"GEP_49 and DEGs","No"
"AT2G43820",0.585038778296205,0.402,0.149,17,"GEP_45","No"
"AT4G31840",4.00945900073759,0.96,0.241,18,"GEP_49 and DEGs","No"
"AT2G41710",0.383726112686656,0.6085,0.2515,19,"DEGs","Yes"
"AT2G38370",1.38639482262852,0.688,0.254,20,"GEP_49","No"
"AT1G18250",0.929609937319754,0.724,0.355,21,"GEP_49 and DEGs","No"
"AT5G20950",1.12011751121976,0.789,0.451,22,"GEP_45 and DEGs","No"
"AT5G56710",0.403729589458146,1,0.994,23,"GEP_49 and DEGs","No"
