"gene_ID","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","CH_ID","TF","TF_family","Gene_code_name","Gene_functions"
"AT5G24800",0,2.64705609838089,0.33,0.012,0,0,1.5170892160265,0.186,0.017,0,0,0,"Chir06Ox-b14960.2","Yes","bZIP","ATBZIP9","cellular response to glucose stimulus, DNA-binding transcription factor activity, nucleus, protein binding, protein heterodimerization activity, protein homodimerization activity, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"AT1G19850",0,1.29223961948448,0.561,0.058,0,0,1.61209164802418,0.815,0.191,0,0,0,"Chir01Ox-b19750.2","Yes","ARF","ARF5","DNA-binding transcription factor activity, embryo development ending in seed dormancy, flower development, identical protein binding, leaf vascular tissue pattern formation, longitudinal axis specification, meristem development, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin, root development, transcription cis-regulatory region binding, xylem and phloem pattern formation"
"AT3G50410",0,1.61904031103682,0.5,0.083,0,0,1.38595380850776,0.612,0.131,0,0,0,"Chir05Ox-b15760.2","Yes","Dof","DOF3.4","cell wall modification, DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of cell cycle, positive regulation of DNA-templated transcription, protein binding, response to auxin, response to salicylic acid, transcription cis-regulatory region binding, zinc ion binding"
"AT3G55370",0,0.818302141716167,0.429,0.007,0,0,0.719737689142418,0.344,0.015,0,0,0,"Chir05Ox-b20920.2","Yes","Dof","OBP3","DNA binding, DNA-binding transcription factor activity, nucleus, photomorphogenesis, positive regulation of DNA-templated transcription, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"AT2G30590",2.68048211169812e-250,0.792208907841663,0.562,0.177,4.92056101244424e-246,5.77106206842801e-292,0.55902393601679,0.557,0.195,1.05939386390133e-287,2.68048211169812e-250,1.15421241368559e-291,"Chir04Ox-b12350.2","Yes","WRKY","WRKY21","calmodulin binding, DNA-binding transcription factor activity, glucosinolate metabolic process, nucleus, protein binding, regulation of DNA-templated transcription, transcription cis-regulatory region binding"
"AT5G10510",0,0.725706372482716,0.405,0.019,0,0,0.736105942123093,0.498,0.027,0,0,0,"Chir06Ox-b28760.2","Yes","AP2","AIL6","auxin mediated signaling pathway involved in phyllotactic patterning, callus formation, DNA binding, DNA-binding transcription factor activity, flower development, lateral root formation, leaf phyllotactic patterning, maintenance of shoot apical meristem identity, nucleus, organ growth, phyllotactic patterning, plant organ morphogenesis, regulation of DNA-templated transcription, regulation of floral meristem growth, root development, transcription cis-regulatory region binding"
"AT2G37590",0,0.71711960129613,0.281,0.002,0,0,0.338876391105115,0.114,0.003,0,0,0,"Chir04Ox-b19900.2","Yes","Dof","ATDOF2.4","DNA-binding transcription factor activity, nucleus, plasmodesmata-mediated intercellular transport, regulation of DNA-templated transcription, root radial pattern formation, transcription cis-regulatory region binding"
"AT1G07640",0,0.64874749355939,0.269,0.007,0,0,0.724058152852973,0.229,0.011,0,0,0,"Chir01Ox-b07120.2","Yes","Dof","OBP2","DNA-binding transcription factor activity, nucleus, regionalization, regulation of DNA-templated transcription, regulation of glucosinolate biosynthetic process, regulation of root development, response to insect, response to jasmonic acid, response to wounding, root radial pattern formation, transcription cis-regulatory region binding"
"AT1G69580",0,0.559575292459058,0.319,0.033,0,1.4937106533446e-273,0.297966757912927,0.229,0.036,2.74200464634468e-269,1.4937106533446e-273,0,"Chir02Ox-b16030.2","Yes","G2-like","AT1G69580.1","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription"
"AT1G29160",7.81743586000845e-168,0.49104000719085,0.16,0.022,1.43504670082175e-163,6.95433596776674e-48,0.372344128801048,0.194,0.088,1.27660745360294e-43,6.95433596776674e-48,1.5634871720017e-167,"Chir01Ox-b27710.2","Yes","Dof","COG1","DNA binding, DNA-binding transcription factor activity, nucleus, protein binding, regulation of DNA-templated transcription, seed coat development, transcription cis-regulatory region binding"
