"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"AT5G25490",1.3614947161275,0.28,0.0065,1,"DEGs","No"
"AT1G07640",0.653400839233855,0.2315,0.0075,2,"DEGs","Yes"
"AT3G55370",0.728823005168904,0.349,0.009,3,"DEGs","Yes"
"AT5G24800",2.13231814198498,0.248,0.0125,4,"DEGs","Yes"
"AT3G02000",1.19634327439316,0.259,0.013,5,"GEP_25 and DEGs","No"
"AT3G15680",2.52237956265563,0.37,0.0145,6,"DEGs","No"
"AT3G28420",0.733458372418448,0.288,0.015,7,"GEP_25 and DEGs","No"
"AT5G62280",0.894552428056668,0.21,0.017,8,"GEP_25","No"
"AT3G28455",1.14775216838003,0.441,0.0185,9,"DEGs","No"
"AT1G14630",0.692852716965187,0.247,0.019,10,"DEGs","No"
"AT5G10510",0.647807568546891,0.3985,0.021,11,"DEGs","Yes"
"AT5G39240",0.763679995564335,0.36,0.023,12,"GEP_25 and DEGs","No"
"AT3G62100",1.30797377593525,0.349,0.029,13,"GEP_25 and DEGs","No"
"AT1G69580",0.447483696443122,0.2465,0.034,14,"DEGs","Yes"
"AT5G60200",1.48329545253809,0.5785,0.044,15,"DEGs","Yes"
"AT1G73590",0.85351350693801,0.502,0.046,16,"GEP_25 and DEGs","No"
"AT4G24060",0.822112594003808,0.4445,0.057,17,"DEGs","Yes"
"AT5G03610",0.64859183512009,0.37,0.0575,18,"DEGs","No"
"AT2G21050",1.61997452100995,0.596,0.058,19,"GEP_25 and DEGs","No"
"AT5G01370",1.87998792704288,0.452,0.06,20,"DEGs","No"
"AT3G63300",1.79649316720079,0.673,0.062,21,"GEP_25 and DEGs","No"
"AT5G20540",0.691207546984018,0.508,0.066,22,"GEP_25 and DEGs","No"
"AT5G57130",1.07397150360609,0.636,0.071,23,"GEP_25 and DEGs","No"
"AT4G29100",0.899369697615489,0.4545,0.0845,24,"DEGs","Yes"
"AT3G50410",1.42203033214605,0.5285,0.103,25,"DEGs","Yes"
"AT1G19850",1.44270527061408,0.68,0.117,26,"DEGs","Yes"
"AT2G02130",3.2475241120612,0.736,0.141,27,"DEGs","No"
"AT1G33470",0.709381803185924,0.544,0.152,28,"DEGs","No"
"AT2G44830",0.92399692007037,0.638,0.176,29,"DEGs","No"
"AT2G28790",1.69354241937986,0.9085,0.44,30,"DEGs","No"
