"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"AT2G40740",0.308896787721879,0.1805,5e-04,1,"DEGs","Yes"
"AT4G04450",0.437566566538238,0.3695,0.0015,2,"DEGs","Yes"
"AT4G38000",0.403659610318496,0.3015,0.002,3,"DEGs","Yes"
"AT3G57600",2.40333597007112,0.735,0.006,4,"GEP_18 and DEGs","Yes"
"AT1G65910",0.496766075191221,0.364,0.0065,5,"DEGs","Yes"
"AT3G56620",2.07802919781973,0.667,0.007,6,"GEP_18 and DEGs","No"
"AT4G12430",1.26843374629288,0.499,0.009,7,"GEP_18","No"
"AT3G24140",2.64267563634896,0.826,0.01,8,"GEP_18 and DEGs","Yes"
"AT1G71050",4.99330416337005,0.903,0.013,9,"GEP_18 and DEGs","No"
"AT4G37430",1.17384474739437,0.554,0.015,10,"GEP_18","No"
"AT5G46350",0.496978010596528,0.1675,0.0185,11,"DEGs","Yes"
"AT5G66440",2.4978641392356,0.853,0.019,12,"GEP_18 and DEGs","No"
"AT5G66400",1.77966433782681,0.198,0.021,13,"DEGs","No"
"AT2G28410",2.54281755489946,0.6235,0.0225,14,"DEGs","No"
"AT5G65590",1.40283483456178,0.685,0.023,15,"GEP_18 and DEGs","Yes"
"AT5G25980",6.33152843311533,0.6685,0.0265,16,"DEGs","No"
"AT2G29995",1.46518397381351,0.7475,0.0265,17,"DEGs","No"
"AT3G59530",1.01360628242977,0.404,0.029,18,"GEP_18","No"
"AT2G46070",1.40286466569675,0.733,0.031,19,"GEP_18 and DEGs","No"
"AT4G15120",2.42260172231121,0.762,0.049,20,"DEGs","No"
"AT5G28490",1.18654920690515,0.6175,0.058,21,"DEGs","No"
"AT4G35070",1.54982874549284,0.719,0.06,22,"DEGs","No"
"AT5G14920",2.05615667598453,0.752,0.085,23,"DEGs","No"
"AT5G21105",2.29042664406755,0.8085,0.0855,24,"DEGs","No"
"AT1G49560",0.620342075375445,0.4945,0.0885,25,"DEGs","Yes"
"AT1G62300",1.73358945520671,0.7045,0.0945,26,"DEGs","Yes"
"AT2G34810",2.00665617010494,0.658,0.1455,27,"DEGs","No"
"AT3G58710",0.562665602963151,0.5535,0.171,28,"DEGs","Yes"
"AT1G01260",0.463458992561894,0.5295,0.2135,29,"DEGs","Yes"
"AT4G29190",1.84147289852346,0.811,0.399,30,"DEGs","Yes"
