"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"AT3G51060",0.99204011956248,0.471,0.004,1,"GEP_1 and DEGs","Yes"
"AT1G19790",1.55712546644276,0.443,0.005,2,"GEP_1","Yes"
"AT4G19810",1.36362765140697,0.2595,0.005,3,"DEGs","No"
"AT2G43610",1.6786700251594,0.451,0.005,4,"DEGs","No"
"AT1G22900",1.78788204197632,0.387,0.0055,5,"DEGs","No"
"AT2G04160",1.31139397883735,0.3395,0.0065,6,"DEGs","No"
"AT5G63850",1.25436962177525,0.269,0.007,7,"GEP_1","No"
"AT3G16660",4.06487567566023,0.187,0.0075,8,"DEGs","No"
"AT1G69310",0.451596155682367,0.243,0.009,9,"DEGs","Yes"
"AT4G23550",1.66838768527816,0.4145,0.0095,10,"DEGs","Yes"
"AT3G60890",2.30059486430363,0.463,0.011,11,"GEP_1 and DEGs","No"
"AT3G24450",0.96558910633651,0.378,0.013,12,"GEP_1 and DEGs","No"
"AT4G36160",1.07524603670345,0.398,0.014,13,"GEP_1 and DEGs","Yes"
"AT4G23300",0.710510323879423,0.262,0.015,14,"DEGs","No"
"AT4G36260",1.12741904212993,0.545,0.017,15,"GEP_1 and DEGs","Yes"
"AT2G24260",0.532782502919095,0.301,0.02,16,"DEGs","Yes"
"AT5G08070",0.434427721367828,0.205,0.021,17,"DEGs","Yes"
"AT4G21215",0.844596679941648,0.3735,0.0275,18,"DEGs","No"
"AT5G03790",1.10422270335938,0.428,0.028,19,"GEP_1 and DEGs","Yes"
"AT5G62680",1.21654130885989,0.2785,0.0315,20,"DEGs","No"
"AT2G43590",1.9688478343913,0.232,0.0325,21,"DEGs","No"
"AT3G25710",1.37872332603869,0.425,0.0335,22,"DEGs","Yes"
"AT2G41130",1.02592812948749,0.4345,0.047,23,"DEGs","Yes"
"AT5G62230",0.566587337578915,0.32,0.053,24,"GEP_1","No"
"AT1G24530",0.462319727802021,0.296,0.056,25,"GEP_1","No"
"AT5G60970",0.948844769413155,0.514,0.0715,26,"DEGs","Yes"
"AT3G05730",6.99332702289726,0.7125,0.1065,27,"DEGs","No"
