"gene_ID","avg_log2FC","pct.1","pct.2","rank","source","TFs"
"AT2G42260",0.865094377205442,0.667,0.165,1,"GEP_25 and DEGs","No"
"AT1G57820",0.928774006126339,0.742,0.192,2,"GEP_25 and DEGs","No"
"AT4G29170",0.343700282839249,0.506,0.204,3,"GEP_25","No"
"AT1G01370",0.839492111911046,0.767,0.23,4,"GEP_25 and DEGs","No"
"AT2G32765",0.303337059745173,0.452,0.255,5,"GEP_25","No"
"AT4G40042",0.53426657336038,0.567,0.256,6,"GEP_25 and DEGs","No"
"AT5G59870",3.06891052766432,0.99,0.268,7,"GEP_25 and DEGs","No"
"AT2G28720",1.92131121041563,0.843,0.306,8,"GEP_25 and DEGs","No"
"AT3G06740",0.376517176719135,0.578,0.31,9,"GEP_25 and DEGs","Yes"
"AT1G14900",1.601796395523,0.85,0.315,10,"GEP_25 and DEGs","No"
"AT4G27230",1.85112171890153,0.929,0.3675,11,"DEGs","No"
"AT1G09200",2.91974745720159,0.9925,0.388,12,"DEGs","No"
"AT3G54560",2.17444874563868,0.9935,0.4135,13,"DEGs","No"
"AT2G28740",2.83920022654461,0.9935,0.4525,14,"DEGs","No"
"AT3G20670",2.62578290501864,0.9905,0.458,15,"DEGs","No"
"AT1G08880",2.49133830311196,0.9905,0.482,16,"DEGs","No"
"AT1G20693",1.37696072009603,0.9735,0.5415,17,"DEGs","No"
"AT2G37470",2.75856132770019,0.992,0.5815,18,"DEGs","No"
"AT2G30620",2.09751981147209,0.9925,0.611,19,"DEGs","No"
"AT5G59910",2.70229450696518,0.9985,0.6565,20,"DEGs","No"
