"gene_ID","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","CH_ID","TF","TF_family","Gene_code_name","Gene_functions"
"AT3G06120",0,2.12542307913126,0.182,0.003,0,0,3.91909331000421,0.462,0.002,0,0,0,"Chir03Ox-b05620.2","Yes","bHLH","MUTE","DNA-binding transcription factor activity, epidermal cell differentiation, guard cell differentiation, nucleus, positive regulation of DNA-templated transcription, protein dimerization activity, stomatal complex development, transcription cis-regulatory region binding"
"AT3G24140",0,2.49834327521895,0.609,0.015,0,0,1.7986243305934,0.444,0.006,0,0,0,"Chir03Ox-b24280.2","Yes","bHLH","FMA","DNA-binding transcription factor activity, guard cell differentiation, guard cell fate commitment, guard mother cell differentiation, negative regulation of cell division, negative regulation of histone H3-K27 methylation, nucleus, positive regulation of cell differentiation, positive regulation of DNA-templated transcription, protein binding, protein dimerization activity, response to low humidity, stomatal complex development"
"AT1G62300",0,1.5292769779585,0.515,0.062,0,7.48555092437521e-49,1.7021862259997,0.506,0.128,1.37412258318756e-44,7.48555092437521e-49,0,"Chir02Ox-b03290.2","Yes","WRKY","WRKY6","cellular response to boron-containing substance deprivation, cellular response to phosphate starvation, DNA-binding transcription factor activity, negative regulation of DNA-templated transcription, nucleus, protein binding, transcription cis-regulatory region binding"
"AT5G06710",1.2990091659907e-289,1.12767188914864,0.554,0.086,2.38459112600912e-285,2.58312018973501e-72,2.07316460728749,0.831,0.339,4.74183373229655e-68,2.58312018973501e-72,2.59801833198113e-289,"Chir06Ox-b32290.2","Yes","HD-ZIP","HAT14","defense response, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, regulation of DNA-templated transcription, response to bacterium, response to light stimulus, shoot system morphogenesis, signal transduction, tissue development, transcription cis-regulatory region binding"
"AT3G28910",0,2.9383267727159,0.771,0.1,0,2.67173326693537e-71,1.7365222067309,0.738,0.193,4.90450075811325e-67,2.67173326693537e-71,0,"Chir05Ox-b06840.2","Yes","MYB","ATMYB30","DNA-binding transcription factor activity, negative regulation of photomorphogenesis, nucleus, plant-type hypersensitive response, protein binding, response to auxin, response to bacterium, response to high light intensity, response to hypoxia, sequence-specific double-stranded DNA binding, transcription cis-regulatory region binding, very long-chain fatty acid biosynthetic process"
"AT4G37790",6.10197028935685e-160,1.0243590610151,0.63,0.186,1.12013868601724e-155,6.2792953900251e-80,1.42929820236889,0.869,0.307,1.15269025474691e-75,6.2792953900251e-80,1.22039405787138e-159,"Chir07Ox-b35230.2","Yes","HD-ZIP","HAT22","abscisic acid-activated signaling pathway, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, response to abscisic acid, response to cytokinin, response to water deprivation, transcription cis-regulatory region binding"
"AT3G26744",4.50886354431713e-235,1.53052562211115,0.834,0.296,8.27692080830296e-231,3.88724104410284e-51,1.31125087578149,0.856,0.519,7.13580838465958e-47,3.88724104410284e-51,9.0177270886334e-235,"Chir05Ox-b04050.2","Yes","bHLH","ICE1","abscisic acid-activated signaling pathway, cis-regulatory region sequence-specific DNA binding, core promoter sequence-specific DNA binding, DNA binding, DNA-binding transcription factor activity, endosperm development, negative regulation of DNA-templated transcription, nucleus, positive regulation of DNA-templated transcription, protein binding, protein dimerization activity, regulation of abscisic acid biosynthetic process, regulation of DNA-templated transcription, response to cold, response to freezing, seed dormancy process, seed morphogenesis, sequence-specific DNA binding, stomatal lineage progression, transcription cis-regulatory region binding"
"AT3G57600",8.74891088214151e-304,0.896709857421059,0.223,0.012,1.60603757063472e-299,1.1565441266831e-212,0.995448879140993,0.244,0.008,2.12306805335217e-208,1.1565441266831e-212,1.74978217642825e-303,"Chir05Ox-b23410.2","Yes","ERF","F15B8.210","DNA-binding transcription factor activity, nucleus, positive regulation of DNA-templated transcription, protein binding, response to stress, transcription cis-regulatory region binding"
"AT3G22760",1.78096451573589e-112,0.758522243504719,0.391,0.097,3.26931656153637e-108,4.1710309817886e-86,0.90394211730871,0.519,0.09,7.65676157326934e-82,4.1710309817886e-86,3.56192903147184e-112,"Chir03Ox-b22760.2","Yes","CPP","SOL1","DNA-binding transcription factor activity, mitotic G1 phase, mitotic G2 phase, mitotic S phase, nucleus, stomatal complex patterning, stomatal lineage progression, transcription cis-regulatory region binding"
"AT4G04890",7.86719125131503e-117,0.663335415847149,0.387,0.085,1.4441802980039e-112,2.43196334332069e-28,0.380819202378662,0.613,0.211,4.46435510933379e-24,2.43196334332069e-28,1.57343825026298e-116,"Chir08Ox-b04440.2","Yes","HD-ZIP","AT4G04890.1","cell differentiation, cotyledon development, DNA binding, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, epidermal cell differentiation, lipid binding, maintenance of floral organ identity, nucleus, protein binding, regulation of seed dormancy process, regulation of seed germination, seed germination, transcription cis-regulatory region binding"
