"","gene_ID","CH_ID","Gene_code_name","pct.1","pct.2","TF","TF_family","Gene_functions","source","rank"
"AT5G03170","AT5G03170","Chir06Ox-b35840.2","ATFLA11",0.2805,0.0015,NA,NA,"extracellular region, membrane, plant-type secondary cell wall biogenesis, plasma membrane, positive regulation of secondary cell wall biogenesis, response to mechanical stimulus, secondary cell wall","DEGs",1
"AT3G10080","AT3G10080","Chir03Ox-b09310.2","AT3G10080.1",0.335,0.002,NA,NA,"extracellular region, manganese ion binding","GEP_15 and DEGs",2
"AT5G60490","AT5G60490","Chir08Ox-b22940.2","AtFLA12",0.333,0.002,NA,NA,"extracellular region, membrane, plant-type secondary cell wall biogenesis, plasma membrane, positive regulation of secondary cell wall biogenesis","GEP_15 and DEGs",3
"AT5G55250","AT5G55250","Chir08Ox-b17250.2","IAMT1",0.197,0.003,NA,NA,"auxin homeostasis, cellular_component, identical protein binding, indole acetic acid carboxyl methyltransferase activity, indole-3-acetate carboxyl methyltransferase activity, magnesium ion binding, methylation, polarity specification of adaxial/abaxial axis, S-adenosylmethionine-dependent methyltransferase activity","GEP_15 and DEGs",4
"AT1G68810","AT1G68810","Chir02Ox-b15170.2","T5L1",0.357,0.004,"Yes","bHLH","DNA-binding transcription factor activity, nucleus, protein dimerization activity, regulation of DNA-templated transcription","GEP_15 and DEGs",5
"AT1G72230","AT1G72230","Chir02Ox-b18880.2","T9N14.17",0.289,0.004,NA,NA,"electron transfer activity, membrane","GEP_15 and DEGs",6
"AT1G01900","AT1G01900","Chir01Ox-b00330.2","ATSBT1.1",0.2135,0.004,NA,NA,"apoplast, extracellular matrix, extracellular region, plant-type cell wall, proteolysis, serine-type endopeptidase activity","DEGs",7
"AT2G18060","AT2G18060","Chir03Ox-b32580.2","VND1",0.2145,0.0055,"Yes","NAC","callus formation, DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of secondary cell wall biogenesis, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, transcription cis-regulatory region binding, xylem vessel member cell differentiation","DEGs",8
"AT5G18930","AT5G18930","Chir06Ox-b20230.2","BUD2",0.267,0.006,NA,NA,"adenosylmethionine decarboxylase activity, cytosol, nucleus, plant organ development, protein binding, spermidine biosynthetic process, spermine biosynthetic process","GEP_15 and DEGs",9
"AT5G08370","AT5G08370","Chir06Ox-b30590.2","AtAGAL2",0.257,0.01,NA,NA,"alpha-galactosidase activity, apoplast, carbohydrate metabolic process, leaf morphogenesis, plant-type cell wall, positive regulation of flower development, raffinose alpha-galactosidase activity, response to fungus, secretory vesicle","GEP_15 and DEGs",10
"AT5G19530","AT5G19530","Chir06Ox-b19550.2","AT5G19530.1",0.492,0.013,NA,NA,"auxin polar transport, cytoplasm, nucleus, phloem or xylem histogenesis, polyamine biosynthetic process, spermine synthase activity, thermospermine synthase activity, unidimensional cell growth, xylem vessel member cell differentiation","GEP_15 and DEGs",11
"AT3G51030","AT3G51030","Chir05Ox-b16370.2","ATTRX1",0.494,0.015,NA,NA,"cytoplasm, cytosol, enzyme activator activity, oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor, positive regulation of catalytic activity, protein binding, protein-disulfide reductase activity","GEP_15 and DEGs",12
"AT4G36160","AT4G36160","Chir07Ox-b33690.2","ANAC076",0.4,0.0205,"Yes","NAC","DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of secondary cell wall biogenesis, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, transcription cis-regulatory region binding, xylem vessel member cell differentiation","DEGs",13
"AT2G13820","AT2G13820","Chir03Ox-b28030.2","AtXYP2",0.4745,0.023,NA,NA,"extracellular region, lipid binding, lipid transport, plasma membrane, xylem development","DEGs",14
"AT4G32880","AT4G32880","Chir07Ox-b30200.2","ATHB-8",0.4195,0.0235,"Yes","HD-ZIP","DNA-binding transcription factor activity, lipid binding, meristem initiation, nucleus, positive regulation of cell differentiation, positive regulation of cell population proliferation, primary shoot apical meristem specification, procambium histogenesis, response to auxin, transcription cis-regulatory region binding, xylem development","DEGs",15
"AT2G28410","AT2G28410","Chir04Ox-b09930.2","T1B3.7",0.315,0.025,NA,NA,"cell differentiation, membrane, meristem development, molecular_function","DEGs",16
"AT1G61660","AT1G61660","Chir02Ox-b04110.2","AtbHLH112",0.2335,0.029,"Yes","bHLH","cellular response to abscisic acid stimulus, cellular response to salt stress, cellular response to water deprivation, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, positive regulation of DNA-templated transcription, protein binding, protein dimerization activity, regulation of proline metabolic process, regulation of reactive oxygen species metabolic process, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, sequence-specific DNA binding","DEGs",17
"AT2G31280","AT2G31280","Chir04Ox-b13120.2","LHL2",0.2175,0.0295,"Yes","bHLH","DNA-binding transcription factor activity, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, root development","DEGs",18
"AT4G37650","AT4G37650","Chir07Ox-b35070.2","SHR",0.2735,0.03,"Yes","GRAS","amyloplast organization, asymmetric cell division, DNA-binding transcription factor activity, iron ion homeostasis, leaf development, negative gravitropism, negative regulation of mitotic cell cycle, nucleus, protein binding, radial pattern formation, regulation of DNA-templated transcription, regulation of hormone metabolic process, sequence-specific DNA binding, transcription cis-regulatory region binding","DEGs",19
"AT3G56240","AT3G56240","Chir05Ox-b21880.2","AT3G56240.2",0.2505,0.0365,NA,NA,"aging, cellular copper ion homeostasis, chloroplast, copper chaperone activity, cytoplasm, cytosol, metal ion binding, response to cadmium ion, response to reactive oxygen species","DEGs",20
"AT3G25710","AT3G25710","Chir05Ox-b02980.2","ATAIG1",0.452,0.04,"Yes","bHLH","anthocyanin-containing compound biosynthetic process, cellular response to phosphate starvation, DNA-binding transcription factor activity, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, root development, root hair cell development","GEP_15 and DEGs",21
