"gene_ID","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","CH_ID","TF","TF_family","Gene_code_name","Gene_functions"
"AT4G36160",0,1.25961749476087,0.48,0.009,0,1.22781626498478e-155,1.04297827964429,0.32,0.032,2.25390231763255e-151,1.22781626498478e-155,0,"Chir07Ox-b33690.2","Yes","NAC","ANAC076","DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of secondary cell wall biogenesis, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, transcription cis-regulatory region binding, xylem vessel member cell differentiation"
"AT4G32880",0,1.70644984414548,0.439,0.013,0,5.35561671549145e-234,1.38283615329646,0.4,0.034,9.83130560462765e-230,5.35561671549145e-234,0,"Chir07Ox-b30200.2","Yes","HD-ZIP","ATHB-8","DNA-binding transcription factor activity, lipid binding, meristem initiation, nucleus, positive regulation of cell differentiation, positive regulation of cell population proliferation, primary shoot apical meristem specification, procambium histogenesis, response to auxin, transcription cis-regulatory region binding, xylem development"
"AT2G41130",0,2.03889404958532,0.646,0.045,0,1.00057988596791e-174,1.65068807679434,0.465,0.061,1.83676449667129e-170,1.00057988596791e-174,0,"Chir04Ox-b23870.2","Yes","bHLH","STC8","chloroplast envelope, DNA-binding transcription factor activity, hyperosmotic salinity response, nucleus, protein dimerization activity, regulation of DNA-templated transcription"
"AT1G69580",1.21870001430136e-182,0.896679570495471,0.43,0.041,2.237167616253e-178,9.19519194141419e-47,0.363073968956517,0.225,0.045,1.6879613846854e-42,9.19519194141419e-47,2.43740002860277e-182,"Chir02Ox-b16030.2","Yes","G2-like","AT1G69580.1","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription"
"AT4G24060",4.46970930221855e-100,0.865750286558202,0.399,0.059,8.20504536608259e-96,6.74538653238652e-71,0.683793713329444,0.4,0.092,1.23825060575019e-66,6.74538653238652e-71,8.9394186044372e-100,"Chir07Ox-b21070.2","Yes","Dof","Dof4.6","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription"
"AT4G37650",6.6069851891686e-152,0.58695240188339,0.3,0.024,1.21284427117568e-147,1.29957003456158e-75,0.407822302501736,0.247,0.036,2.38562071244468e-71,1.29957003456158e-75,1.32139703783371e-151,"Chir07Ox-b35070.2","Yes","GRAS","SHR","amyloplast organization, asymmetric cell division, DNA-binding transcription factor activity, iron ion homeostasis, leaf development, negative gravitropism, negative regulation of mitotic cell cycle, nucleus, protein binding, radial pattern formation, regulation of DNA-templated transcription, regulation of hormone metabolic process, sequence-specific DNA binding, transcription cis-regulatory region binding"
"AT1G66230",9.37327875072344e-29,0.568740162536384,0.309,0.098,1.7206527802703e-24,7.31050020286755e-44,0.445374716549985,0.185,0.033,1.3419885222404e-39,9.37327875072344e-29,1.46210004057352e-43,"Chir02Ox-b12090.2","Yes","MYB","MYB20","cell differentiation, cis-regulatory region sequence-specific DNA binding, DNA-binding transcription factor activity, L-phenylalanine biosynthetic process, negative regulation of DNA-templated transcription, nucleus, positive regulation of DNA-templated transcription, positive regulation of response to salt stress, regulation of lignin biosynthetic process, regulation of phenylpropanoid metabolic process, regulation of secondary cell wall biogenesis, transcription cis-regulatory region binding"
"AT2G18060",0,0.521497785915178,0.247,0.001,0,2.03169549910665e-158,0.852180273230536,0.182,0.01,3.72958342771007e-154,2.03169549910665e-158,0,"Chir03Ox-b32580.2","Yes","NAC","VND1","callus formation, DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of secondary cell wall biogenesis, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, transcription cis-regulatory region binding, xylem vessel member cell differentiation"
"AT1G61660",1.42775785800604e-55,0.423338672022636,0.202,0.027,2.62093509994168e-51,2.8820997118218e-104,0.538040500458434,0.265,0.031,5.29067044099129e-100,1.42775785800604e-55,5.76419942364364e-104,"Chir02Ox-b04110.2","Yes","bHLH","AtbHLH112","cellular response to abscisic acid stimulus, cellular response to salt stress, cellular response to water deprivation, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, positive regulation of DNA-templated transcription, protein binding, protein dimerization activity, regulation of proline metabolic process, regulation of reactive oxygen species metabolic process, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, sequence-specific DNA binding"
"AT2G31280",5.73953377594455e-78,0.36979668041338,0.22,0.024,1.05360621525014e-73,5.31442305635596e-59,0.349755451327976,0.215,0.035,9.75568640455263e-55,5.31442305635596e-59,1.14790675518892e-77,"Chir04Ox-b13120.2","Yes","bHLH","LHL2","DNA-binding transcription factor activity, nucleus, protein binding, protein dimerization activity, regulation of DNA-templated transcription, root development"
